,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
247406,2014-06-27 01:45:00,40.7397,-73.9846,B02598,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
300873,2014-06-06 01:27:00,40.7182,-73.9524,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
5836,2014-06-06 01:03:00,40.7408,-73.9987,B02512,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
433888,2014-06-27 01:49:00,40.7413,-74.0065,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
135670,2014-06-13 01:43:00,40.7221,-73.9996,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
433876,2014-06-27 01:43:00,40.7702,-73.9504,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,2,0
433814,2014-06-27 01:03:00,40.6485,-73.7836,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,4,0
28987,2014-06-27 01:01:00,40.6463,-73.7896,B02512,2014-06-27,6,26,27,1,5,Friday,Friday-1,4,0
74515,2014-06-06 01:54:00,40.7222,-74.0034,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
135633,2014-06-13 01:22:00,40.7192,-74.0056,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
493266,2014-06-06 01:42:00,40.7361,-73.998,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
28996,2014-06-27 01:55:00,40.7221,-73.9967,B02512,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
632488,2014-06-27 01:18:00,40.7421,-74.0055,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
632540,2014-06-27 01:50:00,40.7275,-73.9938,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
135675,2014-06-13 01:44:00,40.7398,-74.0025,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
632528,2014-06-27 01:41:00,40.763,-73.9716,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,2,0
300859,2014-06-06 01:12:00,40.7551,-73.9737,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,2,0
74504,2014-06-06 01:47:00,40.7621,-73.9706,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,2,0
247355,2014-06-27 01:14:00,40.7211,-74.0449,B02598,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
433875,2014-06-27 01:43:00,40.7476,-73.9867,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
493208,2014-06-06 01:01:00,40.7205,-74.0439,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
589091,2014-06-20 01:15:00,40.7274,-73.9883,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
589117,2014-06-20 01:43:00,40.7724,-73.9466,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
135638,2014-06-13 01:24:00,40.6984,-73.9122,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,1,0
74441,2014-06-06 01:06:00,40.6253,-73.9672,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
589107,2014-06-20 01:33:00,40.6877,-74.1814,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,3,0
632493,2014-06-27 01:20:00,40.7334,-74.0045,B02682,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
193309,2014-06-20 01:33:00,40.7474,-73.9916,B02598,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
433859,2014-06-27 01:28:00,40.7073,-74.0017,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
74483,2014-06-06 01:33:00,40.7141,-73.99,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
247337,2014-06-27 01:03:00,40.7662,-73.9832,B02598,2014-06-27,6,26,27,1,5,Friday,Friday-1,2,0
543039,2014-06-13 01:30:00,40.7603,-73.9779,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,2,0
342315,2014-06-13 01:10:00,40.7551,-73.9839,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,2,0
433829,2014-06-27 01:10:00,40.7561,-73.9839,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,2,0
494925,2014-06-06 10:06:00,40.7365,-73.9909,B02682,2014-06-06,6,23,6,10,5,Friday,Friday-10,5,0
